,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Pakistan,71808.0,83387.0,95257.0,105739.0,113842.0,127716.0,138581.0,150376.0,165657.0,180374.0,195628.0,212503.0,233799.0,244381.0,260486.0,279379.0,303251.0,313695.0,328178.0,347135.0,368908.0,384738.0,402801.0,430247.0,475158.0,534381.0,582849.0,631487.0,675991.0,683582.0,692117.0,732180.0,752629.0,784863.0,827826.0,872097.0,898016.0,950382.0,1027059.0,1065373.0
Palau,,,,,,,,,,,,,,,,,,,,,175.0,185.0,200.0,191.0,211.0,220.0,220.0,226.0,217.0,198.0,201.0,215.0,223.0,223.0,241.0,255.0,257.0,256.0,278.0,278.0
Panama,7021.0,8383.0,9379.0,9312.0,9903.0,10725.0,11332.0,11411.0,10230.0,10794.0,12100.0,13680.0,15140.0,16345.0,17169.0,17834.0,19498.0,21117.0,22911.0,24165.0,25390.0,26116.0,27112.0,28820.0,31836.0,35220.0,39402.0,45349.0,50220.0,51410.0,55200.0,62728.0,70434.0,79815.0,89330.0,100479.0,112346.0,125071.0,132802.0,139237.0
Papua New Guinea,3095.0,3423.0,3666.0,3942.0,4041.0,4320.0,4656.0,4907.0,5226.0,5352.0,5384.0,6094.0,7095.0,8586.0,9291.0,9158.0,9940.0,9469.0,10020.0,10362.0,10337.0,10568.0,10946.0,11654.0,12043.0,12918.0,13621.0,15203.0,16053.0,16649.0,19324.0,19946.0,21275.0,22477.0,25993.0,28729.0,30214.0,31871.0,32359.0,34562.0
Paraguay,10639.0,12714.0,13311.0,13411.0,14287.0,15309.0,15658.0,16699.0,18305.0,20129.0,21742.0,23262.0,24196.0,25992.0,27959.0,30493.0,31540.0,33445.0,33844.0,33864.0,33820.0,34273.0,34808.0,36986.0,39523.0,41623.0,44945.0,48654.0,52755.0,53020.0,62437.0,66449.0,64357.0,72178.0,75404.0,76730.0,81538.0,86486.0,91535.0,93141.0
Peru,53800.0,62035.0,65671.0,61895.0,66527.0,70090.0,80160.0,88567.0,83031.0,74682.0,73502.0,77634.0,78974.0,85095.0,97601.0,107021.0,112024.0,121323.0,122159.0,125881.0,132216.0,136063.0,145687.0,154782.0,166925.0,183123.0,202960.0,226109.0,251624.0,256195.0,280852.0,305218.0,318086.0,337915.0,348937.0,355504.0,376398.0,399159.0,424966.0,441962.0
Philippines,90284.0,102094.0,112353.0,118977.0,114177.0,109221.0,115230.0,123266.0,136196.0,150272.0,160563.0,164948.0,169278.0,176972.0,188669.0,201615.0,217296.0,232477.0,233645.0,244531.0,261127.0,274808.0,289199.0,309627.0,339449.0,367110.0,398229.0,435876.0,462883.0,471754.0,528683.0,560551.0,612131.0,654004.0,699662.0,733864.0,798601.0,854095.0,930065.0,1003853.0
Poland,169037.0,166339.0,168098.0,184518.0,190367.0,204046.0,215434.0,226017.0,241614.0,260578.0,250840.0,241031.0,251538.0,268563.0,288648.0,314492.0,340212.0,370558.0,393240.0,417321.0,444998.0,460625.0,474448.0,501147.0,541373.0,578611.0,633322.0,696998.0,738532.0,763742.0,811269.0,869770.0,907167.0,940326.0,973567.0,1020174.0,1073935.0,1145045.0,1235257.0,1309450.0
Portugal,58724.0,66469.0,72120.0,75695.0,77565.0,81357.0,85753.0,94653.0,103198.0,114339.0,127887.0,136597.0,144084.0,146498.0,151844.0,158587.0,167128.0,177514.0,188038.0,198339.0,210535.0,219518.0,224601.0,226940.0,237405.0,246922.0,258462.0,271951.0,277839.0,271611.0,281615.0,282621.0,277992.0,292135.0,298952.0,307312.0,326331.0,340797.0,358182.0,372471.0
Puerto Rico,23792.0,26291.0,27071.0,28272.0,31417.0,33091.0,36514.0,39287.0,43309.0,47216.0,50813.0,53714.0,57446.0,61545.0,65486.0,69892.0,72814.0,77675.0,83636.0,88663.0,93648.0,104850.0,108771.0,113537.0,118977.0,120364.0,122314.0,124109.0,124210.0,122710.0,115090.0,117073.0,118421.0,119192.0,119065.0,118146.0,117009.0,115158.0,112138.0,116423.0
Qatar,17631.0,18527.0,18061.0,17773.0,21346.0,19159.0,20269.0,20974.0,22728.0,24864.0,22007.0,22362.0,25463.0,25724.0,26644.0,27852.0,29601.0,39144.0,44007.0,46595.0,51481.0,54707.0,59536.0,62982.0,77152.0,85601.0,111321.0,134838.0,161767.0,182484.0,249689.0,283716.0,311041.0,322985.0,317406.0,238529.0,220585.0,249963.0,259125.0,265795.0
Romania,107565.0,117727.0,129907.0,143137.0,157110.0,161976.0,169207.0,174914.0,180132.0,176282.0,172543.0,155239.0,144859.0,150571.0,159822.0,174801.0,185019.0,176796.0,170105.0,170722.0,179706.0,194080.0,207275.0,223087.0,248381.0,267068.0,297449.0,326324.0,360870.0,337915.0,346458.0,360795.0,379730.0,395624.0,410589.0,428645.0,479084.0,534707.0,571838.0,605792.0
Russia,,,,,,,,,,,,,1703037.0,1591862.0,1419274.0,1389470.0,1363780.0,1406294.0,1345568.0,1452933.0,1635277.0,1757683.0,1869331.0,2046722.0,2253908.0,2474758.0,2758784.0,3073924.0,3298700.0,3063800.0,3038683.0,3259319.0,3480302.0,3741783.0,3763537.0,3526234.0,3538581.0,3818779.0,4009646.0,4135992.0
Rwanda,2108.0,2362.0,2447.0,2697.0,3155.0,3398.0,3658.0,3740.0,3882.0,3803.0,3960.0,3916.0,4270.0,3918.0,2325.0,2956.0,3359.0,3926.0,4299.0,4509.0,4997.0,5546.0,6373.0,6644.0,7335.0,8282.0,9323.0,10301.0,11675.0,12500.0,13474.0,14997.0,15780.0,16762.0,19002.0,20620.0,22076.0,23665.0,26312.0,29298.0
Samoa,210.0,209.0,220.0,230.0,242.0,265.0,283.0,292.0,311.0,341.0,331.0,334.0,356.0,370.0,402.0,438.0,478.0,490.0,501.0,505.0,543.0,596.0,640.0,687.0,727.0,801.0,843.0,869.0,918.0,869.0,871.0,926.0,906.0,918.0,935.0,985.0,1075.0,1106.0,1108.0,1168.0
San Marino,,,,,,,,,,,,,,,,,,1308.0,1422.0,1573.0,1645.0,1775.0,1808.0,1916.0,2059.0,2176.0,2329.0,2561.0,2654.0,2333.0,1964.0,1834.0,1748.0,1740.0,1825.0,1850.0,1925.0,1982.0,2064.0,2124.0
São Tomé and Príncipe,123.0,121.0,132.0,132.0,128.0,145.0,139.0,138.0,146.0,157.0,159.0,166.0,171.0,177.0,185.0,192.0,199.0,204.0,212.0,220.0,226.0,239.0,248.0,270.0,288.0,318.0,358.0,369.0,407.0,426.0,519.0,553.0,557.0,638.0,747.0,765.0,790.0,811.0,856.0,882.0
Saudi Arabia,360340.0,401642.0,338136.0,295065.0,291295.0,271172.0,323704.0,309948.0,362852.0,375066.0,448031.0,532422.0,566274.0,571840.0,587274.0,600793.0,627893.0,645692.0,671584.0,656201.0,708886.0,716263.0,706756.0,801887.0,889511.0,969304.0,1026947.0,1073747.0,1163233.0,1147931.0,1413023.0,1586749.0,1672471.0,1680158.0,1722862.0,1541832.0,1475672.0,1565892.0,1642519.0,1677383.0
Senegal,4630.0,5319.0,6092.0,5995.0,6441.0,6865.0,7221.0,7857.0,8084.0,8732.0,8994.0,9531.0,9869.0,10236.0,10452.0,11242.0,11677.0,12248.0,13112.0,14157.0,14942.0,15983.0,16335.0,17774.0,19335.0,21077.0,22261.0,23982.0,25353.0,26165.0,33758.0,34966.0,37054.0,37891.0,40124.0,43318.0,46119.0,49402.0,53807.0,57663.0
Serbia,,,,,,,,,,,,,,,,,,,,,46341.0,49764.0,54123.0,57640.0,64582.0,70353.0,76072.0,82695.0,88842.0,86727.0,95468.0,99446.0,100311.0,104804.0,104531.0,105878.0,111749.0,116542.0,124582.0,132115.0
Seychelles,285.0,299.0,311.0,322.0,347.0,395.0,406.0,437.0,477.0,546.0,608.0,646.0,708.0,778.0,775.0,795.0,891.0,1016.0,1053.0,1089.0,1161.0,1160.0,1193.0,1145.0,1143.0,1286.0,1450.0,1643.0,1640.0,1634.0,1703.0,1832.0,1904.0,2012.0,2183.0,2248.0,2431.0,2611.0,2774.0,2934.0
Sierra Leone,2892.0,3221.0,3482.0,3562.0,3751.0,3610.0,3688.0,3872.0,4090.0,4460.0,4699.0,4467.0,4129.0,4229.0,4470.0,4106.0,3145.0,2636.0,2642.0,2465.0,2617.0,3162.0,4060.0,4527.0,4958.0,5348.0,5745.0,6373.0,6849.0,7121.0,7276.0,7897.0,9434.0,11988.0,12544.0,11469.0,12300.0,12234.0,12961.0,13898.0
Singapore,21367.0,25858.0,29432.0,33207.0,37412.0,38343.0,39636.0,45020.0,51775.0,59266.0,67631.0,74555.0,81659.0,93247.0,105636.0,115419.0,126377.0,139198.0,137578.0,148197.0,165055.0,167209.0,176926.0,188458.0,212131.0,235354.0,264080.0,295809.0,307003.0,307468.0,382249.0,414967.0,435965.0,448140.0,461772.0,481405.0,501213.0,532833.0,564385.0,578673.0
Slovakia,,,,,,,,,,,,,,43568.0,47257.0,52040.0,56668.0,60200.0,63295.0,64132.0,66384.0,70149.0,74448.0,80046.0,86573.0,95391.0,106633.0,121293.0,130635.0,124489.0,133913.0,140627.0,145645.0,151398.0,157095.0,162303.0,161032.0,168113.0,178857.0,186417.0
Slovenia,,,,,,,,,,,,,22161.0,23324.0,25082.0,26655.0,28120.0,30064.0,31388.0,33550.0,35739.0,37632.0,39675.0,41616.0,44621.0,47901.0,52165.0,57271.0,60321.0,56040.0,57680.0,59392.0,59746.0,61744.0,63653.0,65283.0,69940.0,75735.0,80747.0,84196.0
Solomon Islands,176.0,189.0,198.0,213.0,221.0,221.0,225.0,251.0,263.0,284.0,301.0,330.0,380.0,405.0,447.0,503.0,520.0,524.0,537.0,542.0,475.0,448.0,442.0,480.0,533.0,621.0,665.0,727.0,794.0,762.0,1027.0,1125.0,1168.0,1252.0,1288.0,1319.0,1411.0,1515.0,1612.0,1660.0
South Africa,134666.0,155133.0,164127.0,167455.0,182240.0,185793.0,189573.0,198495.0,214073.0,227723.0,235395.0,240754.0,240980.0,249756.0,263321.0,277188.0,294403.0,307369.0,312312.0,324569.0,345745.0,363298.0,382405.0,401532.0,431365.0,468739.0,510216.0,551870.0,580652.0,576062.0,600342.0,633011.0,637034.0,668458.0,682955.0,695228.0,707744.0,724101.0,747322.0,761824.0
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32402.0,14508.0,17633.0,17392.0,16179.0,12577.0,11185.0,11233.0,11533.0
Spain,296856.0,323251.0,347559.0,367248.0,386739.0,408542.0,431081.0,467323.0,509242.0,555517.0,598223.0,633746.0,653707.0,660467.0,690271.0,733714.0,765195.0,808381.0,853669.0,907863.0,975436.0,1037616.0,1083888.0,1140724.0,1209246.0,1294551.0,1390067.0,1480847.0,1526754.0,1483344.0,1471088.0,1489595.0,1483647.0,1512074.0,1558307.0,1621505.0,1733039.0,1843951.0,1932664.0,2006054.0
Sri Lanka,16576.0,19092.0,21338.0,22915.0,25324.0,27430.0,29181.0,30361.0,32271.0,34281.0,37743.0,43220.0,42819.0,47115.0,51985.0,56280.0,64277.0,72106.0,71688.0,74881.0,83032.0,83270.0,87699.0,94761.0,102668.0,112586.0,124944.0,136987.0,147985.0,154386.0,166030.0,183744.0,210688.0,223390.0,233895.0,242361.0,259190.0,269854.0,285469.0,297201.0
Saint Kitts and Nevis,141.0,158.0,178.0,181.0,206.0,226.0,251.0,279.0,318.0,351.0,384.0,405.0,427.0,461.0,496.0,524.0,565.0,617.0,630.0,665.0,764.0,826.0,855.0,825.0,872.0,974.0,1010.0,1052.0,1136.0,1134.0,1083.0,1126.0,1072.0,1115.0,1216.0,1225.0,1287.0,1320.0,1391.0,1456.0
Saint Lucia,247.0,283.0,307.0,332.0,372.0,432.0,507.0,542.0,641.0,727.0,812.0,842.0,931.0,956.0,992.0,1030.0,1079.0,1088.0,1170.0,1220.0,1245.0,1225.0,1248.0,1332.0,1474.0,1514.0,1666.0,1728.0,1835.0,1842.0,2175.0,2327.0,2311.0,2394.0,2454.0,2427.0,2573.0,2705.0,2843.0,2943.0
Saint Vincent and the Grenadines,167.0,189.0,206.0,221.0,241.0,259.0,279.0,288.0,337.0,362.0,393.0,415.0,455.0,483.0,487.0,531.0,546.0,577.0,609.0,631.0,657.0,683.0,736.0,806.0,867.0,922.0,1007.0,1066.0,1081.0,1067.0,1098.0,1116.0,1134.0,1185.0,1231.0,1271.0,1364.0,1345.0,1407.0,1438.0
Sudan,17924.0,20836.0,23042.0,23590.0,23053.0,23642.0,26514.0,28948.0,31268.0,32945.0,33583.0,38139.0,37464.0,40723.0,42433.0,44623.0,48310.0,54207.0,57256.0,60903.0,67598.0,74650.0,80144.0,88473.0,96914.0,100459.0,112777.0,125613.0,131975.0,139202.0,171821.0,169773.0,137750.0,142298.0,168145.0,172515.0,188840.0,180267.0,180360.0,178950.0
Suriname,2083.0,2321.0,2310.0,2278.0,2288.0,2340.0,2330.0,2179.0,2499.0,2656.0,2713.0,2417.0,2568.0,2571.0,2442.0,2775.0,3142.0,3419.0,3533.0,3554.0,3632.0,3896.0,4105.0,4446.0,4901.0,5308.0,5787.0,6244.0,6630.0,6882.0,7169.0,7747.0,8543.0,9203.0,9550.0,8987.0,8025.0,9340.0,9811.0,10013.0
Eswatini,900.0,1128.0,1212.0,1275.0,1402.0,1501.0,1720.0,2021.0,2229.0,2615.0,2953.0,3119.0,3285.0,3446.0,3619.0,3844.0,4058.0,4253.0,4407.0,4605.0,4831.0,5012.0,5271.0,5613.0,5982.0,6515.0,7063.0,7536.0,7898.0,8318.0,8275.0,8638.0,8922.0,9465.0,9633.0,9764.0,9761.0,9554.0,10013.0,10308.0
Sweden,87473.0,99983.0,107701.0,114256.0,123392.0,130233.0,136748.0,144818.0,153575.0,163476.0,170878.0,174753.0,176994.0,177656.0,188853.0,200550.0,207310.0,216976.0,228601.0,242614.0,259884.0,269962.0,279790.0,292178.0,313183.0,332369.0,358643.0,380723.0,386029.0,368794.0,400106.0,421516.0,432488.0,444617.0,457508.0,481300.0,500373.0,530433.0,553761.0,570754.0
Switzerland,107336.0,119190.0,124716.0,130543.0,139355.0,149119.0,154956.0,161324.0,172466.0,187012.0,201104.0,205854.0,210267.0,214880.0,222380.0,228368.0,233887.0,243355.0,253059.0,261078.0,277978.0,288424.0,293282.0,299367.0,315797.0,336032.0,360618.0,385476.0,401733.0,396217.0,427663.0,444602.0,462516.0,486394.0,507097.0,529502.0,550365.0,567524.0,597066.0,615309.0
Syria,18886.0,22397.0,24401.0,25771.0,24952.0,27629.0,26845.0,27875.0,32520.0,31735.0,36318.0,41552.0,48129.0,52924.0,57042.0,61389.0,64364.0,64752.0,69090.0,67958.0,71099.0,75396.0,81067.0,81000.0,88972.0,97542.0,105613.0,114576.0,122053.0,130251.0,136344.0,,,,,,,,,
Taiwan,72472.0,72460.0,80647.0,91412.0,104168.0,112669.0,128176.0,148145.0,165626.0,187121.0,204997.0,229527.0,254229.0,277981.0,305173.0,331792.0,358710.0,387156.0,407837.0,441892.0,480963.0,485727.0,520677.0,552941.0,605111.0,658405.0,716799.0,783829.0,804832.0,798240.0,889427.0,941367.0,973232.0,1015239.0,1066102.0,1102036.0,1112781.0,1143224.0,1202811.0,1257446.0
Tajikistan,,,,,,,,,,,,,7260.0,6608.0,5304.0,4738.0,4614.0,4773.0,5080.0,5349.0,5925.0,6678.0,7397.0,8314.0,9449.0,10406.0,11476.0,12701.0,13973.0,14628.0,17526.0,19216.0,21657.0,24570.0,27630.0,25288.0,26829.0,27389.0,30094.0,32929.0
Tanzania,10994.0,12081.0,12908.0,13739.0,14710.0,15879.0,17269.0,18754.0,20265.0,21853.0,24258.0,25584.0,26321.0,27272.0,28289.0,29910.0,31840.0,33526.0,35147.0,37412.0,40151.0,43529.0,47247.0,51253.0,56460.0,62038.0,66924.0,74520.0,80212.0,85171.0,88974.0,98013.0,95918.0,103322.0,108827.0,117377.0,127683.0,134162.0,146944.0,159993.0
Thailand,74627.0,86418.0,96692.0,106119.0,116214.0,125501.0,135117.0,151755.0,177939.0,207399.0,240067.0,268902.0,300417.0,334246.0,368658.0,406907.0,437753.0,432987.0,404274.0,429229.0,458555.0,485159.0,522897.0,571666.0,624329.0,671402.0,726412.0,786273.0,815532.0,816049.0,886663.0,912790.0,1008787.0,1049948.0,1059446.0,1087225.0,1146218.0,1205675.0,1285869.0,1339643.0
Timor-Leste,,,,,,,,,,,,,,,,,,,,,1083.0,1134.0,1069.0,1091.0,2600.0,4097.0,6779.0,6931.0,7921.0,7451.0,2148.0,2320.0,2629.0,2864.0,3195.0,3489.0,3830.0,3936.0,3999.0,4197.0
Togo,2116.0,2235.0,2286.0,2253.0,2470.0,2644.0,2786.0,2786.0,3175.0,3434.0,3771.0,3873.0,3835.0,3285.0,3822.0,4670.0,4572.0,4827.0,4769.0,4964.0,5028.0,5076.0,5086.0,5442.0,5727.0,5986.0,6410.0,6717.0,7014.0,7315.0,7349.0,7982.0,8313.0,8870.0,9482.0,10233.0,10878.0,11633.0,12497.0,13394.0
Tonga,67.0,84.0,101.0,111.0,165.0,180.0,200.0,208.0,208.0,219.0,237.0,260.0,256.0,261.0,272.0,290.0,296.0,291.0,305.0,317.0,327.0,345.0,358.0,369.0,384.0,398.0,400.0,408.0,427.0,443.0,425.0,463.0,476.0,486.0,505.0,516.0,556.0,585.0,601.0,616.0
Trinidad and Tobago,8217.0,9363.0,10322.0,9623.0,9392.0,9293.0,9169.0,8974.0,8924.0,9329.0,9594.0,10062.0,10568.0,10641.0,10710.0,11778.0,12848.0,14051.0,15358.0,16844.0,18416.0,19621.0,21504.0,25100.0,27840.0,30520.0,35613.0,38299.0,40374.0,38894.0,41073.0,41850.0,40430.0,40692.0,40459.0,37698.0,36189.0,36605.0,37392.0,38059.0
Tunisia,13594.0,15684.0,16577.0,18036.0,19747.0,21534.0,21649.0,23689.0,24536.0,26147.0,29032.0,31240.0,34511.0,36208.0,38320.0,40164.0,43700.0,46993.0,49861.0,53670.0,57251.0,61396.0,63398.0,68199.0,74250.0,79705.0,86799.0,94681.0,100844.0,104773.0,108007.0,108148.0,110825.0,112068.0,115567.0,114133.0,117101.0,121255.0,127538.0,131087.0
Turkey,155384.0,177308.0,194767.0,212088.0,234598.0,252415.0,275378.0,310724.0,328423.0,342057.0,387537.0,404144.0,438094.0,484588.0,467900.0,512002.0,557877.0,610144.0,635837.0,623688.0,680234.0,654255.0,707015.0,761555.0,857963.0,965355.0,1065760.0,1149159.0,1181605.0,1134568.0,1280896.0,1454112.0,1550688.0,1703670.0,1860471.0,2022940.0,2116184.0,2282304.0,2406255.0,2471660.0
Turkmenistan,,,,,,,,,,,,,11826.0,10897.0,9204.0,8719.0,8283.0,7473.0,8060.0,9534.0,11563.0,14238.0,16737.0,19989.0,23556.0,27484.0,31435.0,35840.0,41932.0,44842.0,49900.0,58441.0,63516.0,68363.0,73746.0,76192.0,78516.0,81788.0,88905.0,96231.0
Tuvalu,,,,,,,,,,,,,,,,,,,,,22.0,22.0,25.0,24.0,25.0,24.0,26.0,28.0,31.0,30.0,29.0,32.0,31.0,33.0,34.0,38.0,40.0,43.0,45.0,49.0
Uganda,4687.0,5322.0,6116.0,6669.0,6698.0,6705.0,6905.0,7365.0,8255.0,9125.0,10077.0,10598.0,11473.0,12532.0,13783.0,15361.0,16673.0,17742.0,19024.0,20851.0,22166.0,24659.0,26804.0,29022.0,31551.0,35825.0,39529.0,43853.0,49376.0,53765.0,73717.0,81034.0,77235.0,80260.0,84146.0,84376.0,85711.0,89315.0,97076.0,105389.0
Ukraine,,,,,,,,,,,,,318309.0,277653.0,219007.0,196427.0,180309.0,177572.0,176240.0,178575.0,193472.0,216141.0,231177.0,258226.0,296623.0,315569.0,349893.0,388715.0,405232.0,346506.0,378239.0,407226.0,425994.0,486365.0,461987.0,435490.0,475722.0,504188.0,533874.0,560976.0
United Arab Emirates,75713.0,89425.0,88146.0,86815.0,93897.0,94458.0,77795.0,84012.0,84672.0,101804.0,130444.0,137672.0,145168.0,148579.0,162914.0,177255.0,190128.0,209924.0,213880.0,225299.0,258834.0,269628.0,280429.0,311192.0,350338.0,379166.0,429263.0,454719.0,478437.0,456796.0,554739.0,605575.0,631707.0,647296.0,678339.0,601179.0,598811.0,637385.0,660454.0,683523.0
United Kingdom,498558.0,540864.0,586000.0,634841.0,672324.0,722892.0,760720.0,821947.0,899954.0,959099.0,1001703.0,1023462.0,1050562.0,1102518.0,1169730.0,1224054.0,1278161.0,1340700.0,1398491.0,1466514.0,1556051.0,1634901.0,1699794.0,1793779.0,1889699.0,2008467.0,2121999.0,2234142.0,2263680.0,2182160.0,2267766.0,2350797.0,2440476.0,2563271.0,2665878.0,2768619.0,2897573.0,3037045.0,3151659.0,3254845.0
United States,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14992050.0,15542600.0,16197050.0,16784825.0,17527275.0,18238300.0,18745100.0,19542975.0,20611875.0,21433225.0
Uruguay,12461.0,13884.0,13368.0,13439.0,13764.0,14414.0,16007.0,17718.0,18608.0,19544.0,20328.0,21748.0,24008.0,25232.0,27645.0,27813.0,29901.0,31948.0,33677.0,33178.0,33331.0,32910.0,31059.0,32416.0,34853.0,38422.0,41226.0,45092.0,49276.0,51757.0,56493.0,60650.0,61471.0,64840.0,68327.0,68983.0,70776.0,73286.0,76261.0,77795.0
Uzbekistan,,,,,,,,,,,,,37778.0,37770.0,36568.0,36994.0,38310.0,40992.0,43222.0,45771.0,48591.0,51786.0,54684.0,58117.0,64134.0,70831.0,78483.0,88226.0,98053.0,106800.0,146357.0,161046.0,170097.0,179717.0,189421.0,198534.0,205512.0,211135.0,227980.0,244960.0
Vanuatu,110.0,125.0,135.0,145.0,164.0,171.0,175.0,174.0,177.0,187.0,216.0,230.0,242.0,249.0,278.0,286.0,298.0,318.0,326.0,332.0,359.0,355.0,342.0,364.0,388.0,422.0,472.0,510.0,553.0,576.0,592.0,612.0,635.0,658.0,686.0,694.0,725.0,772.0,813.0,855.0
Venezuela,117193.0,126484.0,137885.0,129202.0,140775.0,146540.0,158584.0,170439.0,187890.0,168025.0,185510.0,210335.0,228168.0,234239.0,233605.0,247900.0,251925.0,272563.0,276331.0,263809.0,279760.0,295848.0,273788.0,257591.0,313074.0,356489.0,403717.0,450740.0,483838.0,471901.0,476095.0,506340.0,545085.0,562097.0,550205.0,520885.0,436659.0,375151.0,308781.0,204291.0
Vietnam,23595.0,27294.0,31350.0,34899.0,39172.0,42697.0,45020.0,47346.0,51502.0,57678.0,62831.0,68693.0,76372.0,84505.0,93927.0,105034.0,116940.0,128638.0,137531.0,146301.0,159786.0,174695.0,189936.0,207945.0,230306.0,255657.0,281900.0,310034.0,334014.0,354717.0,471196.0,511889.0,568401.0,607018.0,660612.0,700257.0,770872.0,851064.0,933163.0,1016475.0
Yemen,,,,,,,,,,,25928.0,28477.0,31516.0,33557.0,36575.0,39455.0,42037.0,44994.0,48214.0,50800.0,55168.0,58571.0,61811.0,65406.0,69874.0,76155.0,80984.0,85914.0,90795.0,95021.0,96373.0,85876.0,85441.0,92756.0,94294.0,68543.0,62769.0,60706.0,62631.0,65088.0
Zambia,8014.0,9343.0,9634.0,9899.0,10075.0,10526.0,10920.0,11366.0,12854.0,12866.0,13264.0,13615.0,14211.0,14537.0,12871.0,13520.0,14623.0,15441.0,15548.0,16520.0,17554.0,18909.0,20064.0,21886.0,24069.0,26641.0,29630.0,32959.0,36218.0,39858.0,43252.0,46612.0,49509.0,53420.0,54506.0,54473.0,55712.0,58735.0,62572.0,64607.0
Zimbabwe,,,,,,,,,,,,,,,,,,,25411.0,25537.0,25003.0,25441.0,23803.0,20270.0,19480.0,18566.0,18451.0,18303.0,15568.0,16869.0,23247.0,27102.0,31161.0,34187.0,35496.0,37016.0,38427.0,42818.0,45379.0,43168.0
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3315.0,3503.0,3443.0,3594.0,3623.0,3536.0,3510.0,3550.0,3679.0,3759.0
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14871.0,16639.0,19943.0,20864.0,22973.0,25416.0,27532.0,28499.0,29542.0,30355.0
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13105.0,10156.0,9015.0,9864.0,11346.0,12230.0,12655.0,13322.0,13953.0
