,DE,Current,ROI,Revenue,Revenue,Revenue,EPS,EPS,EPS,BVPS,BVPS,BVPS,FCF,FCF,FCF
,D/E ratio,Current,Mean,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR
AAPL,True,True,True,0.19750021143795804,0.07314873097375617,-0.0204107758052674,0.24957016427805498,0.13028018663530586,-0.0033557046979865173,0.07546127875191999,-0.06368627513120484,-0.2436149312377209,0.2064574425672674,0.032706307319854584,-0.08148656446406011
MSFT,True,True,True,0.07972738150575509,0.07703260637666598,0.14029539688292858,0.12063336889040488,0.1398270352404456,1.375586854460094,0.11523743849816336,0.10952334727019664,0.17422606191504664,0.09165559890802057,0.07206611297939712,0.18628302120798712
AMZN,True,True,True,0.27603954474591186,0.2581345711013716,0.20454125820676985,0.27417372488932834,,0.14250248262164855,0.27743245362081925,0.4414171626731516,0.44437631394533983,0.24355714711566834,0.676662681993456,0.3311855670103092
GOOG,True,True,True,0.2120713835142911,0.19650961848715465,0.18300089899794614,0.17019601065472512,0.1903523029488192,0.12494279176201363,,0.13198372825320148,0.11332789964208526,0.13795316277883465,0.207503462806939,0.35651716888577445
FB,True,True,True,0.5699940142607858,0.4149294060879472,0.2661091013288441,0.5164255643907742,0.4235202764116248,-0.1505944517833554,,0.2292196014065042,0.2540983606557379,0.6750284150672226,0.31015531896964665,0.3810794973631095
TSLA,True,True,False,0.7144816913536332,0.5036044975483467,0.14524020315921904,-0.04724136149739522,0.15831223453416166,-0.14035087719298245,0.438404338072572,0.5471852928159611,1.329411764705882,,,-360.33333333333326
BRK.A,True,False,False,0.08511563031599434,0.055126168015203085,0.02735265517255292,0.25373629457046953,0.32727406511767154,19.36809815950921,0.07309501591834344,0.08587321245820513,0.04748767113839358,0.07606720166600534,0.061804991308539885,-0.0067795127498578855
V,True,True,True,0.12765238589414873,0.12585962033863662,0.1149012567324954,0.2507939503642849,0.19640620575711495,0.20100502512562807,0.09563588980963857,0.06746917884370608,0.06260671599317025,0.4719033300940541,0.12576627909264504,-0.01595353022989443
JNJ,True,True,True,0.02859796788938352,0.01997904372141046,0.005859207413490886,0.02495682537999322,-0.002468295275019683,0.0035650623885916666,0.01622125109256345,-0.01082745698286236,0.1066425666516042,0.04906287828261746,0.03386335594482004,0.06666973405723753
WMT,True,False,True,0.024389422738484882,0.01551423174771549,0.028104720161968855,-0.039735499207781966,-0.14269032790291036,-0.3109756097560976,0.04584507030722485,0.02324762823295523,0.0575858250276855,0.037873230347931434,0.10527017482002043,-0.03943420488641236
JPM,False,False,False,0.021056805431908687,0.06694094463025979,0.09496425001922047,0.1684459689200828,0.1517224241187758,0.19111111111111126,0.07223246168189458,0.05908098582318955,0.055291884195538536,-0.2600062723059705,-0.3023878668154286,-0.5738352012405723
MA,True,True,True,0.12718827046277048,0.12327559846367266,0.12929765886287625,0.2163547290790615,0.20695689956984964,0.4178571428571429,0.04695115213338452,0.00946209242103957,0.19066937119675464,0.19666530673158375,0.1939249213042253,0.3035495716034271
PG,True,False,True,-0.012419598543637169,-0.018745980394352824,0.012748384007660984,-0.10341257413520487,-0.18634868069297195,-0.6103542234332425,-0.01410412428255614,-0.032760071496516496,0.03980891719745228,-0.0038164475222566274,0.02832915014631698,0.07618880812680627
UNH,True,False,True,0.10761437950968733,0.13165459910961874,0.07031253453084463,0.16029953452512016,0.2024700465816338,0.1755537325676786,0.11905814070866196,0.15600718250519294,0.17658632562715204,0.12867225218914746,0.202256061011328,0.20087912087912094
DIS,True,True,True,0.06771578384778643,0.07355298378983899,0.1711646532287916,0.1419985202087899,0.09282770371307024,-0.20574162679425834,0.09101885105547836,0.10261266215566757,-0.05993930197268583,-0.110315873334336,-0.2973476196369725,-0.8872838250254323
NVDA,True,True,True,0.130867905321159,0.23187278936985026,0.20609429689108505,,0.5504449889846812,0.3755186721991701,0.16707871082771408,0.2378184879530163,0.3288155568650561,,0.3903297034650464,0.0796976983854345
HD,False,True,True,0.04261096285395016,0.06544096444225334,0.07233608182034401,0.2192725717153594,0.2094418688250994,0.3347050754458163,,,-0.6415094339622642,0.10752119903639046,0.1093252913464262,0.04400353599842855
PYPL,True,True,True,,0.17235260476167014,0.15021681444566706,,0.43515327266866,0.21052631578947367,,0.07879996038341308,0.12606837606837604,,0.17523082947657498,-0.16920437486596607
BAC,False,False,False,-0.027713158124462626,0.03244319447725918,0.036140731754038764,,0.4561854277312241,0.053639846743295035,0.030566620385036325,0.04811619328314798,0.05006765899864685,-0.06988911122091722,0.14939504662781689,0.5631831983805669
VZ,True,True,True,0.020349234543825426,0.007425932883862619,0.007679787258430659,0.1045679829619084,0.1395346027903701,0.23670212765957466,-0.06026927876054455,0.35121222447033595,0.10288065843621386,0.02063015744861052,0.05788460730120847,0.007126293761664959
ADBE,True,True,True,0.1425781929405292,0.2191905935603864,0.2370985603543743,0.2344765343577637,0.6247070917972446,0.15384615384615374,0.09428795067811536,0.12203690868460225,0.15530303030303028,0.14968791206504606,0.28732220526441776,0.07032128268570959
CMCSA,True,False,True,0.11785285807219335,0.096359411250021,0.15274000867660598,0.16210290976082398,0.12081333809388604,0.11857707509881445,0.09307997638486776,0.12609074519383956,0.10000000000000007,0.10932615634208333,0.08977229522418373,0.04698275862068968
NFLX,True,True,True,0.2828290552386252,0.2963712926333473,0.2761808281625935,0.3088178278257561,0.4612067590069342,0.5410447761194028,0.4631966151917777,0.3577019835665285,0.4936143039591317,,1.2602073247620609,0.10017061199609034
KO,True,True,True,0.01861277906110836,-0.04122927217128836,0.08647230320699717,0.034821161171589836,0.05285865735151418,0.3799999999999999,-0.024955616928916458,-0.048034623340969085,-0.020703933747411973,0.0408216302549691,0.021864324639842447,0.4849059585901692
NKE,True,True,True,0.0738923580642632,0.07069869489724523,0.07473143390938808,0.12600047956388385,0.10816037219990003,1.1282051282051286,0.015505761353353131,-0.04844549735027015,-0.0016949152542373724,0.1380272058409746,0.17500031902893953,0.21823274764451228
MRK,True,True,True,0.0549752584329799,0.020903668838781586,0.10748569537050168,-0.038636447982507205,-0.013115987906105908,0.642241379310345,-0.047637688483675784,-0.06625314746641807,0.09564393939393943,0.1783606150982231,0.08358175553376634,0.1998314674371013
PEP,False,False,True,0.04503583428807567,0.0014295556501993099,0.03866318182521145,0.032681030216219265,0.040195794804998686,-0.4077448747152619,-0.025979051765404826,0.0113641632971051,-0.035328753680078484,0.016877166129160015,-0.0636439808591035,-0.10850486676240624
T,True,False,False,0.039910406110118535,0.06468186818968348,0.06112230316943479,-0.008093367318772526,0.0879477135618163,-0.33684210526315794,0.03628958427590656,0.06525745293852214,0.028936490041337807,0.0505605384919956,0.2358781460449879,0.2796795657503064
PFE,True,True,True,0.004925023466556766,0.00850250208816794,-0.035360784386824995,0.08842291989017026,0.15111499282151208,0.5430107526881721,0.007051339051732164,0.016381735679061205,-0.002538071065989911,-0.038272277142443634,-0.08101295734123393,-0.2446862531737396
INTC,True,True,True,0.07435553815572749,0.05193409524618065,0.01576614724480585,0.19854133976322785,0.15313933164796836,0.05133928571428559,0.07841683372054263,0.08548814765076207,0.0656121851200937,0.09788289795014538,0.10424298358516104,0.18812714897200197
CRM,True,True,False,0.2855967837584159,0.2668128928430382,0.2601518026565466,0.31858870966150765,,1.9183673469387756,0.3313225563812774,0.4385942041923614,0.9232167196728758,0.32465358521836474,0.3721002801760136,0.2717785843920144
ABT,True,True,False,0.003641987335903929,0.09520871440735412,0.043364510432337015,-0.05662560295604248,0.06693064751987632,0.5488721804511278,0.025211937155942055,0.04628584375629719,-0.015461071231363975,-0.03136494694502445,0.11603049299464407,-0.08316347329800244
ORCL,False,True,True,0.054436120314367516,0.006351207437108375,0.0031231749739735197,0.10543445059348856,0.04528784058682156,2.4941176470588244,-0.06342297565984623,-0.21258576871571203,-0.4176776429809359,0.05252686682342556,-0.021092999021627982,-0.05560439560439556
ABBV,False,False,True,0.08875064977902869,0.10756190406904498,0.01566268738741483,inf,0.36851085783726334,0.4426229508196722,,0.2386605001886877,-2.5575539568345325,0.09712408978370224,0.34174811142434924,-0.001329267339119533
CSCO,True,True,True,0.03692874990801154,0.019432711124207858,0.052179201297384965,0.09533034830164833,0.118641295973144,129.5,0.013458868259952128,-0.05282334020776192,0.1329113924050631,0.053287039937469416,0.05769944670621663,0.15925839733147162
TMO,True,True,False,0.09928261753537536,0.08623814631094118,0.04860826011987851,0.16390444779874547,0.14253545445219729,0.26657458563535896,0.07561188639738359,0.08978913914006492,0.09684469334790324,0.10736159739793916,0.12744633130684768,0.06466753585397655
AVGO,True,True,True,0.3129908164049333,0.3955484739131681,0.0838929393706831,,0.4538351195105448,-0.7739099859353025,0.26447685449554825,0.302239564115651,0.07921525078659998,0.6058822883563342,0.6494700447784565,0.1024280999528524
XOM,True,False,True,-0.015770817426889017,-0.08449173655880116,-0.08708805976320755,-0.016791508853275402,-0.15061392457612474,-0.3114754098360656,0.0387221501495516,0.005494836375650625,-0.06288903198111195,-0.010430836226074993,-0.1513343726524884,-0.6742700729927007
ACN,True,True,True,0.06431203727822797,0.06276407354777369,0.05420437635693909,0.11673158281525753,0.10242201129162763,0.1608832807570979,0.19226917451805334,0.21930463997005667,0.18326180257510735,0.07512173289624235,0.13717958917013928,0.11473693943596852
QCOM,True,True,True,0.08858747323275296,-0.017306379082981715,0.0735040467029322,0.1421866619690153,-0.050427127531898715,-2.058997050147493,-0.08419291103589144,-0.2358488715544298,0.2517482517482517,0.002864067149462634,-0.031427069082567434,-0.4641812865497076
COST,True,True,True,0.07895058838062186,0.06274968642577039,0.07859382946262072,0.12830966791047538,0.12177412653625065,0.1650211565585331,0.05334116540745226,0.11353162362005298,0.1957686882933709,0.1474064850622918,0.11020169576599814,0.19714795008912667
CVX,True,True,True,-0.015699587999532416,-0.0712001624882902,-0.1191722927275023,-0.1152533164209224,-0.3140435356710839,-0.8010335917312661,0.03289227689107066,-0.031215500156112293,-0.14776425213932753,,,-0.2156186853678831
LLY,False,True,True,0.002194720239774961,0.02616393588774102,0.03847764388405528,0.0847772133835396,0.3186191529540172,1.8402555910543132,-0.0697796777839752,-0.1761017868583875,0.445983379501385,0.0058229535415750275,0.028072999867259973,-0.11850066065509167
MCD,False,True,True,-0.007587363771941913,-0.05140294427797254,0.0024732461355529978,0.0672555933440826,0.10330563388049517,0.04509283819628651,,,-0.004378283712784703,0.04464563027808777,0.0678875913282555,0.34072148492725884
DHR,True,True,True,0.05468506457297551,0.06838678264294251,0.05056015015543425,0.08878189874785591,0.02213834195454689,0.08288770053475925,0.10254658602271284,0.09577079191957627,0.15664214625703154,0.07399038143788772,0.0021709362163990775,-0.03364491407338599
MDT,True,True,True,0.07666045141717404,0.12436369893395005,0.02016492504924372,0.06363753678762185,0.024588523989719,0.5022026431718063,0.10754995804002544,0.001015067802858427,-0.0029208709506106656,0.05680371199386869,0.0517727300676738,0.6241703539823009
NEE,True,False,False,0.020721270978425462,0.024427728450666653,0.1480839361511328,0.06958832440347695,0.06741853275792997,-0.4409221902017292,0.09755409753763322,0.11630228724597735,0.04479065238558922,0.013187892425614134,0.07769556054114557,-1.781430475344291
TXN,True,True,True,0.032687715162897264,0.019720333651487062,-0.08876077040040542,0.16375978250806744,0.15313361576522788,-0.06261180679785328,0.00674885299315986,-0.014960408285613737,-0.05619146722164403,0.11927182382443392,0.08881905657062639,-0.03873413548706117
HON,True,True,True,0.02055431357177695,-0.018521996800425652,-0.12183627577627865,0.1516067810179944,0.09550346957234823,-0.06347438752783963,0.0687811833840104,0.023659823294847948,0.0187353629976581,0.06121381298482076,0.08788099857648479,0.08539405799679778
UPS,False,True,True,0.050440263881888166,0.04935942346582789,0.031073878738119513,0.10056699069866837,0.09272130651299304,-0.072595281306715,-0.027983262865683974,0.2426823109720313,-0.0015384615384614884,-0.04654186254770465,-0.0760292290624297,-0.6405259087393658
